model,exercise,target,condition,metric,value
tcn,deadlift,00100,unseen,bit_accuracy,0.41111111111111115
tcn,deadlift,00100,unseen,exact_match,0.0
tcn,deadlift,00100,unseen,macro_f1,0.03333333333333333
tcn,deadlift,00100,unseen,micro_f1,0.07407407407407407
tcn,deadlift,00110,seen,bit_accuracy,0.7244444444444444
tcn,deadlift,00110,seen,exact_match,0.2222222222222222
tcn,deadlift,00110,seen,macro_f1,0.3925925925925926
tcn,deadlift,00110,seen,micro_f1,0.7521367521367521
tcn,deadlift,00110,unseen,bit_accuracy,0.6355555555555555
tcn,deadlift,00110,unseen,exact_match,0.0
tcn,deadlift,00110,unseen,macro_f1,0.29
tcn,deadlift,00110,unseen,micro_f1,0.5717948717948719
tcn,deadlift,11110,seen,bit_accuracy,0.55
tcn,deadlift,11110,seen,exact_match,0.19999999999999998
tcn,deadlift,11110,seen,macro_f1,0.396031746031746
tcn,deadlift,11110,seen,micro_f1,0.5257142857142857
tcn,deadlift,11110,unseen,bit_accuracy,0.6266666666666667
tcn,deadlift,11110,unseen,exact_match,0.0
tcn,deadlift,11110,unseen,macro_f1,0.45291005291005293
tcn,deadlift,11110,unseen,micro_f1,0.669047619047619
tcn,squat,000000,seen,bit_accuracy,0.6444444444444444
tcn,squat,000000,seen,exact_match,0.06666666666666667
tcn,squat,000000,seen,macro_f1,0.0
tcn,squat,000000,seen,micro_f1,0.0
tcn,squat,000000,unseen,bit_accuracy,0.6148148148148148
tcn,squat,000000,unseen,exact_match,0.0
tcn,squat,000000,unseen,macro_f1,0.0
tcn,squat,000000,unseen,micro_f1,0.0
tcn,squat,000001,seen,bit_accuracy,0.5666666666666667
tcn,squat,000001,seen,exact_match,0.0
tcn,squat,000001,seen,macro_f1,0.13668430335097
tcn,squat,000001,seen,micro_f1,0.3581196581196581
tcn,squat,000001,unseen,bit_accuracy,0.39999999999999997
tcn,squat,000001,unseen,exact_match,0.0
tcn,squat,000001,unseen,macro_f1,0.12962962962962962
tcn,squat,000001,unseen,micro_f1,0.2904040404040404
tcn,squat,000101,seen,bit_accuracy,0.8592592592592592
tcn,squat,000101,seen,exact_match,0.35555555555555557
tcn,squat,000101,seen,macro_f1,0.29012345679012347
tcn,squat,000101,seen,micro_f1,0.782732565341261
tcn,squat,000101,unseen,bit_accuracy,0.6962962962962962
tcn,squat,000101,unseen,exact_match,0.0
tcn,squat,000101,unseen,macro_f1,0.22464726631393298
tcn,squat,000101,unseen,micro_f1,0.5348964760729467
