model,exercise,target,seed,criterion,target_bit,accuracy,lop,global_opposing_support,global_matching_support,global_opposing_rate,target_frequency,target_cardinality,total_hamming1_support
fact,squat,010101,123,3,1,0.3333333333333333,0.0,140.0,79.0,0.639269406392694,15.0,3.0,32.0
fact,squat,010101,123,4,0,1.0,0.0,10.0,209.0,0.045662100456621,15.0,3.0,32.0
fact,squat,010101,123,5,1,1.0,10.0,34.0,185.0,0.1552511415525114,15.0,3.0,32.0
fact,squat,010101,42,0,0,0.4666666666666667,2.0,116.0,103.0,0.5296803652968036,15.0,3.0,28.0
fact,squat,010101,42,1,1,0.2,18.0,198.0,21.0,0.9041095890410958,15.0,3.0,28.0
fact,squat,010101,42,2,0,1.0,8.0,40.0,179.0,0.182648401826484,15.0,3.0,28.0
fact,squat,010101,42,3,1,0.2,0.0,154.0,65.0,0.7031963470319634,15.0,3.0,28.0
fact,squat,010101,42,4,0,0.7333333333333333,0.0,10.0,209.0,0.045662100456621,15.0,3.0,28.0
fact,squat,010101,42,5,1,0.7333333333333333,0.0,32.0,187.0,0.1461187214611872,15.0,3.0,28.0
fact,squat,010101,7,0,0,0.6,2.0,117.0,102.0,0.5342465753424658,15.0,3.0,22.0
fact,squat,010101,7,1,1,0.0,10.0,193.0,26.0,0.8812785388127854,15.0,3.0,22.0
fact,squat,010101,7,2,0,0.6666666666666666,5.0,40.0,179.0,0.182648401826484,15.0,3.0,22.0
fact,squat,010101,7,3,1,0.3333333333333333,0.0,150.0,69.0,0.684931506849315,15.0,3.0,22.0
fact,squat,010101,7,4,0,1.0,0.0,10.0,209.0,0.045662100456621,15.0,3.0,22.0
fact,squat,010101,7,5,1,0.9333333333333333,5.0,39.0,180.0,0.1780821917808219,15.0,3.0,22.0
fact,squat,100001,123,0,1,0.6923076923076923,43.0,125.0,55.0,0.6944444444444444,52.0,2.0,85.0
fact,squat,100001,123,1,0,0.8461538461538461,0.0,41.0,139.0,0.22777777777777777,52.0,2.0,85.0
fact,squat,100001,123,2,0,0.5384615384615384,15.0,35.0,145.0,0.19444444444444445,52.0,2.0,85.0
