model,exercise,target,criterion,seed,target_bit,accuracy,lop,global_opposing_support,global_matching_support,global_opposing_rate,target_frequency,target_cardinality,total_hamming1_support
gru,deadlift,00000,3,57.333333333333336,0.0,0.25603864734299514,45.0,112.0,25.0,0.8175182481751825,69.0,0.0,60.0
gru,deadlift,00000,4,57.333333333333336,0.0,0.7922705314009661,0.0,9.0,128.0,0.06569343065693431,69.0,0.0,60.0
gru,deadlift,00010,0,57.333333333333336,0.0,0.21212121212121213,2.0,22.0,120.0,0.15492957746478872,66.0,1.0,85.0
gru,deadlift,00010,1,57.333333333333336,0.0,0.4646464646464647,6.0,23.0,119.0,0.1619718309859155,66.0,1.0,85.0
gru,deadlift,00010,2,57.333333333333336,0.0,0.15151515151515152,30.0,76.0,66.0,0.5352112676056338,66.0,1.0,85.0
gru,deadlift,00010,3,57.333333333333336,1.0,0.6666666666666666,47.0,79.0,63.0,0.5563380281690141,66.0,1.0,85.0
gru,deadlift,00010,4,57.333333333333336,0.0,0.9292929292929294,0.0,9.0,133.0,0.06338028169014084,66.0,1.0,85.0
gru,deadlift,00100,0,57.333333333333336,0.0,0.9696969696969697,0.0,15.0,172.0,0.08021390374331551,22.0,1.0,92.0
gru,deadlift,00100,1,57.333333333333336,0.0,0.0909090909090909,0.0,21.0,166.0,0.11229946524064172,22.0,1.0,92.0
gru,deadlift,00100,2,57.333333333333336,1.0,0.24242424242424243,54.0,132.0,55.0,0.7058823529411765,22.0,1.0,92.0
gru,deadlift,00100,3,57.333333333333336,0.0,0.04545454545454545,33.0,118.0,69.0,0.6310160427807486,22.0,1.0,92.0
gru,deadlift,00100,4,57.333333333333336,0.0,0.6969696969696969,5.0,9.0,178.0,0.0481283422459893,22.0,1.0,92.0
gru,deadlift,00110,0,57.333333333333336,0.0,0.5959595959595959,0.0,20.0,158.0,0.11235955056179775,33.0,2.0,91.0
gru,deadlift,00110,1,57.333333333333336,0.0,0.9393939393939394,7.0,20.0,158.0,0.11235955056179775,33.0,2.0,91.0
gru,deadlift,00110,2,57.333333333333336,1.0,0.494949494949495,53.0,127.0,51.0,0.7134831460674157,33.0,2.0,91.0
gru,deadlift,00110,3,57.333333333333336,1.0,0.6666666666666666,22.0,98.0,80.0,0.550561797752809,33.0,2.0,91.0
gru,deadlift,00110,4,57.333333333333336,0.0,0.787878787878788,9.0,9.0,169.0,0.05056179775280898,33.0,2.0,91.0
gru,deadlift,11110,0,57.333333333333336,1.0,0.3,1.0,186.0,16.0,0.9207920792079208,10.0,4.0,2.0
gru,deadlift,11110,1,57.333333333333336,1.0,0.03333333333333333,1.0,192.0,10.0,0.9504950495049505,10.0,4.0,2.0
gru,deadlift,11110,2,57.333333333333336,1.0,0.3666666666666667,0.0,152.0,50.0,0.7524752475247526,10.0,4.0,2.0
gru,deadlift,11110,3,57.333333333333336,1.0,0.6333333333333333,0.0,101.0,101.0,0.5,10.0,4.0,2.0
gru,deadlift,11110,4,57.333333333333336,0.0,1.0,0.0,9.0,193.0,0.04455445544554456,10.0,4.0,2.0
gru,squat,000000,0,57.333333333333336,0.0,0.3333333333333333,0.3333333333333333,116.66666666666667,93.33333333333333,0.5555555555555555,17.0,0.0,52.0
gru,squat,000000,1,57.333333333333336,0.0,0.9411764705882352,0.0,36.333333333333336,173.66666666666666,0.17301587301587304,17.0,0.0,52.0
gru,squat,000000,2,57.333333333333336,0.0,0.823529411764706,3.0,40.0,170.0,0.19047619047619047,17.0,0.0,52.0
gru,squat,000000,3,57.333333333333336,0.0,0.6666666666666666,5.0,83.0,127.0,0.3952380952380952,17.0,0.0,52.0
gru,squat,000000,4,57.333333333333336,0.0,1.0,5.0,10.0,200.0,0.047619047619047616,17.0,0.0,52.0
gru,squat,000000,5,57.333333333333336,0.0,0.0,38.666666666666664,188.0,22.0,0.8952380952380952,17.0,0.0,52.0
gru,squat,000001,0,57.333333333333336,0.0,0.24848484848484845,43.333333333333336,112.66666666666667,67.33333333333333,0.6259259259259259,55.0,1.0,78.0
gru,squat,000001,1,57.333333333333336,0.0,0.8545454545454545,0.0,39.333333333333336,140.66666666666666,0.21851851851851853,55.0,1.0,78.0
gru,squat,000001,2,57.333333333333336,0.0,0.5454545454545454,7.0,38.333333333333336,141.66666666666666,0.21296296296296294,55.0,1.0,78.0
gru,squat,000001,3,57.333333333333336,0.0,0.7515151515151516,21.0,91.0,89.0,0.5055555555555555,55.0,1.0,78.0
gru,squat,000001,4,57.333333333333336,0.0,0.8545454545454545,0.0,10.0,170.0,0.05555555555555555,55.0,1.0,78.0
gru,squat,000001,5,57.333333333333336,1.0,0.8727272727272727,6.666666666666667,24.0,156.0,0.13333333333333333,55.0,1.0,78.0
gru,squat,000101,0,57.333333333333336,0.0,0.7727272727272728,28.666666666666668,113.0,97.0,0.5380952380952381,22.0,2.0,83.66666666666667
gru,squat,000101,1,57.333333333333336,0.0,0.4393939393939394,10.0,39.333333333333336,170.66666666666666,0.1873015873015873,22.0,2.0,83.66666666666667
gru,squat,000101,2,57.333333333333336,0.0,0.7575757575757575,0.0,38.333333333333336,171.66666666666666,0.18253968253968253,22.0,2.0,83.66666666666667
gru,squat,000101,3,57.333333333333336,1.0,0.7424242424242425,40.0,142.0,68.0,0.6761904761904761,22.0,2.0,83.66666666666667
