model,exercise,target,seed,condition,metric,value
gru,squat,100101,42,seen,macro_f1,0.42857142857142855
gru,squat,100101,42,seen,micro_f1,0.8275862068965517
gru,squat,100101,42,seen,bit_accuracy,0.8333333333333334
gru,squat,100101,42,seen,exact_match,0.0
gru,squat,100101,42,unseen,macro_f1,0.3333333333333333
gru,squat,100101,42,unseen,micro_f1,0.7407407407407407
gru,squat,100101,42,unseen,bit_accuracy,0.7666666666666667
gru,squat,100101,42,unseen,exact_match,0.0
gru,squat,100101,7,seen,macro_f1,0.46296296296296297
gru,squat,100101,7,seen,micro_f1,0.9285714285714286
gru,squat,100101,7,seen,bit_accuracy,0.9333333333333333
gru,squat,100101,7,seen,exact_match,0.6
gru,squat,100101,7,unseen,macro_f1,0.22023809523809523
gru,squat,100101,7,unseen,micro_f1,0.4
gru,squat,100101,7,unseen,bit_accuracy,0.5
gru,squat,100101,7,unseen,exact_match,0.0
gru,squat,101001,123,seen,macro_f1,0.3333333333333333
gru,squat,101001,123,seen,micro_f1,0.8
gru,squat,101001,123,seen,bit_accuracy,0.8333333333333334
gru,squat,101001,123,seen,exact_match,0.0
gru,squat,101001,123,unseen,macro_f1,0.3703703703703704
gru,squat,101001,123,unseen,micro_f1,0.7692307692307693
gru,squat,101001,123,unseen,bit_accuracy,0.8
gru,squat,101001,123,unseen,exact_match,0.0
gru,squat,101001,42,seen,macro_f1,0.36838624338624343
gru,squat,101001,42,seen,micro_f1,0.6923076923076923
gru,squat,101001,42,seen,bit_accuracy,0.7333333333333333
gru,squat,101001,42,seen,exact_match,0.0
gru,squat,101001,42,unseen,macro_f1,0.34722222222222215
gru,squat,101001,42,unseen,micro_f1,0.72
gru,squat,101001,42,unseen,bit_accuracy,0.7666666666666667
gru,squat,101001,42,unseen,exact_match,0.0
gru,squat,101001,7,seen,macro_f1,0.39153439153439146
gru,squat,101001,7,seen,micro_f1,0.7692307692307693
gru,squat,101001,7,seen,bit_accuracy,0.8
gru,squat,101001,7,seen,exact_match,0.2
gru,squat,101001,7,unseen,macro_f1,0.2037037037037037
gru,squat,101001,7,unseen,micro_f1,0.4166666666666667
gru,squat,101001,7,unseen,bit_accuracy,0.5333333333333333
gru,squat,101001,7,unseen,exact_match,0.0
ssm,deadlift,00000,123,seen,macro_f1,0.0
ssm,deadlift,00000,123,seen,micro_f1,0.0
ssm,deadlift,00000,123,seen,bit_accuracy,0.76
ssm,deadlift,00000,123,seen,exact_match,0.4
ssm,deadlift,00000,123,unseen,macro_f1,0.0
ssm,deadlift,00000,123,unseen,micro_f1,0.0
ssm,deadlift,00000,123,unseen,bit_accuracy,0.32
ssm,deadlift,00000,123,unseen,exact_match,0.0
ssm,deadlift,00000,42,seen,macro_f1,0.0
ssm,deadlift,00000,42,seen,micro_f1,0.0
ssm,deadlift,00000,42,seen,bit_accuracy,0.24
ssm,deadlift,00000,42,seen,exact_match,0.0
ssm,deadlift,00000,42,unseen,macro_f1,0.0
ssm,deadlift,00000,42,unseen,micro_f1,0.0
ssm,deadlift,00000,42,unseen,bit_accuracy,0.24
ssm,deadlift,00000,42,unseen,exact_match,0.0
ssm,deadlift,00000,7,seen,macro_f1,0.0
ssm,deadlift,00000,7,seen,micro_f1,0.0
ssm,deadlift,00000,7,seen,bit_accuracy,0.7
ssm,deadlift,00000,7,seen,exact_match,0.0
ssm,deadlift,00000,7,unseen,macro_f1,0.0
ssm,deadlift,00000,7,unseen,micro_f1,0.0
ssm,deadlift,00000,7,unseen,bit_accuracy,0.4
ssm,deadlift,00000,7,unseen,exact_match,0.0
ssm,deadlift,00010,123,seen,macro_f1,0.11428571428571428
ssm,deadlift,00010,123,seen,micro_f1,0.21052631578947367
ssm,deadlift,00010,123,seen,bit_accuracy,0.4
ssm,deadlift,00010,123,seen,exact_match,0.0
ssm,deadlift,00010,123,unseen,macro_f1,0.0
ssm,deadlift,00010,123,unseen,micro_f1,0.0
ssm,deadlift,00010,123,unseen,bit_accuracy,0.6
ssm,deadlift,00010,123,unseen,exact_match,0.0
ssm,deadlift,00010,42,seen,macro_f1,0.17142857142857143
ssm,deadlift,00010,42,seen,micro_f1,0.4
ssm,deadlift,00010,42,seen,bit_accuracy,0.55
ssm,deadlift,00010,42,seen,exact_match,0.0
ssm,deadlift,00010,42,unseen,macro_f1,0.0
ssm,deadlift,00010,42,unseen,micro_f1,0.0
ssm,deadlift,00010,42,unseen,bit_accuracy,0.35
ssm,deadlift,00010,42,unseen,exact_match,0.0
ssm,deadlift,00010,7,seen,macro_f1,0.0
ssm,deadlift,00010,7,seen,micro_f1,0.0
ssm,deadlift,00010,7,seen,bit_accuracy,0.2
ssm,deadlift,00010,7,seen,exact_match,0.0
ssm,deadlift,00010,7,unseen,macro_f1,0.0
ssm,deadlift,00010,7,unseen,micro_f1,0.0
ssm,deadlift,00010,7,unseen,bit_accuracy,0.4
ssm,deadlift,00010,7,unseen,exact_match,0.0
ssm,deadlift,00100,123,seen,macro_f1,0.0
ssm,deadlift,00100,123,seen,micro_f1,0.0
ssm,deadlift,00100,123,seen,bit_accuracy,0.3
ssm,deadlift,00100,123,seen,exact_match,0.0
ssm,deadlift,00100,123,unseen,macro_f1,0.0
ssm,deadlift,00100,123,unseen,micro_f1,0.0
ssm,deadlift,00100,123,unseen,bit_accuracy,0.2
ssm,deadlift,00100,123,unseen,exact_match,0.0
ssm,deadlift,00100,42,seen,macro_f1,0.0
ssm,deadlift,00100,42,seen,micro_f1,0.0
ssm,deadlift,00100,42,seen,bit_accuracy,0.48
ssm,deadlift,00100,42,seen,exact_match,0.0
ssm,deadlift,00100,42,unseen,macro_f1,0.0
ssm,deadlift,00100,42,unseen,micro_f1,0.0
ssm,deadlift,00100,42,unseen,bit_accuracy,0.4
ssm,deadlift,00100,42,unseen,exact_match,0.0
ssm,deadlift,00100,7,seen,macro_f1,0.16
ssm,deadlift,00100,7,seen,micro_f1,0.5714285714285714
ssm,deadlift,00100,7,seen,bit_accuracy,0.8
ssm,deadlift,00100,7,seen,exact_match,0.3333333333333333
ssm,deadlift,00100,7,unseen,macro_f1,0.0
ssm,deadlift,00100,7,unseen,micro_f1,0.0
ssm,deadlift,00100,7,unseen,bit_accuracy,0.6
ssm,deadlift,00100,7,unseen,exact_match,0.0
ssm,deadlift,00110,123,seen,macro_f1,0.37142857142857144
ssm,deadlift,00110,123,seen,micro_f1,0.9333333333333333
