model,exercise,target,seed,risk,n,error_rate,error_auprc,error_auroc,aurc,accuracy_at_80,accuracy_at_60
fact,squat,101001,123,combined,150,0.3,0.4315336923902011,0.5267724867724868,0.37944283891655267,0.7583333333333333,0.7444444444444445
fact,squat,101001,42,confidence,150,0.36666666666666664,0.47029875229502427,0.5768421052631579,0.4036243665943485,0.6666666666666667,0.7333333333333334
fact,squat,101001,42,pressure,150,0.36666666666666664,0.4255887809134838,0.48995215311004786,0.3490214715672319,0.6416666666666666,0.6111111111111112
fact,squat,101001,42,combined,150,0.36666666666666664,0.44612922509909747,0.52688995215311,0.4027835459489617,0.6666666666666667,0.6555555555555556
fact,squat,101001,7,confidence,150,0.2866666666666667,0.2887014843645265,0.40752010432514674,0.42535182404438093,0.7583333333333333,0.7111111111111111
fact,squat,101001,7,pressure,150,0.2866666666666667,0.3170504781257348,0.43892632036513807,0.33449639727505853,0.6916666666666667,0.6555555555555556
fact,squat,101001,7,combined,150,0.2866666666666667,0.3443795998065997,0.47815692240817215,0.38006452441143806,0.7583333333333333,0.7222222222222222
gru,deadlift,00000,123,confidence,345,0.4144927536231884,0.5269848028977362,0.677006162154677,0.24944182199954137,0.6231884057971014,0.642512077294686
gru,deadlift,00000,123,pressure,345,0.4144927536231884,0.7214913147692307,0.6571868725334071,0.3639793998869269,0.7065217391304348,0.7053140096618358
gru,deadlift,00000,123,combined,345,0.4144927536231884,0.49780687307398297,0.6645087585681644,0.2566375136522245,0.5978260869565217,0.6473429951690821
gru,deadlift,00000,42,confidence,345,0.4463768115942029,0.534225749394365,0.6373495614333311,0.30697607842737495,0.5760869565217391,0.6328502415458936
gru,deadlift,00000,42,pressure,345,0.4463768115942029,0.6602374606787935,0.60758482355341,0.4096960941208331,0.6485507246376812,0.6135265700483092
gru,deadlift,00000,42,combined,345,0.4463768115942029,0.6397131014985049,0.6724688923641804,0.2918311683483819,0.6086956521739131,0.6521739130434783
gru,deadlift,00000,7,confidence,345,0.3826086956521739,0.44097676821601206,0.5798833404467207,0.29819581776815307,0.644927536231884,0.6521739130434783
