model,exercise,target,risk,seed,n,error_rate,error_auprc,error_auroc,aurc,accuracy_at_80,accuracy_at_60
transformer,deadlift,00010,confidence,57.333333333333336,330.0,0.5202020202020202,0.4806758173755994,0.4007578121852178,0.5599394242443401,0.4633838383838384,0.4057239057239057
transformer,deadlift,00010,pressure,57.333333333333336,330.0,0.5202020202020202,0.8723443330318242,0.8764612068692953,0.25909092622973817,0.5782828282828283,0.7104377104377105
transformer,deadlift,00100,combined,57.333333333333336,110.0,0.5575757575757576,0.8659497322082234,0.9111781048530426,0.24994729210787583,0.5227272727272727,0.6616161616161617
transformer,deadlift,00100,confidence,57.333333333333336,110.0,0.5575757575757576,0.7493653760481221,0.7141987849262473,0.45535745789199655,0.5037878787878788,0.5858585858585859
transformer,deadlift,00100,pressure,57.333333333333336,110.0,0.5575757575757576,0.9285345399033528,0.9366509946443747,0.2395419695354186,0.5340909090909091,0.681818181818182
transformer,deadlift,00110,combined,57.333333333333336,165.0,0.23030303030303026,0.2565955454224496,0.5157871122352918,0.19245146406424687,0.7676767676767676,0.7575757575757577
transformer,deadlift,00110,confidence,57.333333333333336,165.0,0.23030303030303026,0.3692770047470928,0.6933691627189088,0.12685303284241703,0.7954545454545454,0.8518518518518517
transformer,deadlift,00110,pressure,57.333333333333336,165.0,0.23030303030303026,0.25745925885188364,0.4116898881767632,0.2777572382618799,0.7550505050505051,0.7171717171717171
transformer,deadlift,11110,combined,57.333333333333336,50.0,0.6266666666666666,0.6043501781945695,0.5260529999424394,0.5140474906559889,0.30833333333333335,0.3333333333333333
transformer,deadlift,11110,confidence,57.333333333333336,50.0,0.6266666666666666,0.6537721982785532,0.6147032615809628,0.45372096002522655,0.3333333333333333,0.39999999999999997
transformer,deadlift,11110,pressure,57.333333333333336,50.0,0.6266666666666666,0.6269069166223825,0.5080979069710745,0.6225179170141647,0.3416666666666666,0.3888888888888889
transformer,squat,000000,combined,57.333333333333336,102.0,0.411764705882353,0.6643395148434181,0.6563815350713358,0.290156950048375,0.683127572016461,0.6174863387978141
transformer,squat,000000,confidence,57.333333333333336,102.0,0.411764705882353,0.54625643004148,0.6896292545617567,0.2457452875568632,0.5967078189300411,0.6721311475409836
transformer,squat,000000,pressure,57.333333333333336,102.0,0.411764705882353,0.588289476257143,0.6122601580233776,0.35706762767873873,0.6625514403292182,0.6120218579234973
transformer,squat,000001,combined,57.333333333333336,330.0,0.3464646464646464,0.6501365019863578,0.7549514440956546,0.21091718416549757,0.73989898989899,0.7828282828282829
transformer,squat,000001,confidence,57.333333333333336,330.0,0.3464646464646464,0.4630562773822833,0.638228132105756,0.24403976055079643,0.6818181818181818,0.7323232323232324
transformer,squat,000001,pressure,57.333333333333336,330.0,0.3464646464646464,0.6314938708402479,0.7460302574336056,0.22378203339365443,0.7323232323232324,0.8282828282828283
transformer,squat,000101,combined,57.333333333333336,132.0,0.35353535353535354,0.5065686323062931,0.6634370410185627,0.24644250379575647,0.6920634920634919,0.7426160337552742
transformer,squat,000101,confidence,57.333333333333336,132.0,0.35353535353535354,0.4535462846848648,0.6283943612747961,0.24356824255170506,0.6666666666666666,0.7130801687763713
transformer,squat,000101,pressure,57.333333333333336,132.0,0.35353535353535354,0.4658872099890605,0.6040428246270637,0.3398083700544376,0.6888888888888888,0.7172995780590717
transformer,squat,010101,combined,57.333333333333336,90.0,0.2666666666666666,0.3308405057778111,0.6099912166999647,0.18917981939856854,0.7314814814814815,0.7839506172839507
transformer,squat,010101,confidence,57.333333333333336,90.0,0.2666666666666666,0.4163354325660226,0.6737489446401549,0.1634622272450663,0.7731481481481483,0.808641975308642
transformer,squat,010101,pressure,57.333333333333336,90.0,0.2666666666666666,0.3109753714532504,0.5683197586035981,0.2477914645516004,0.7175925925925926,0.7469135802469135
transformer,squat,100001,combined,57.333333333333336,312.0,0.37606837606837606,0.6364614625537645,0.70012216566965,0.2620579603494065,0.7028112449799196,0.7433155080213903
transformer,squat,100001,confidence,57.333333333333336,312.0,0.37606837606837606,0.43531955173466597,0.5582400622583209,0.33675755664770696,0.6358768406961178,0.6434937611408199
transformer,squat,100001,pressure,57.333333333333336,312.0,0.37606837606837606,0.5097095134928514,0.5915893702083042,0.3593165538379833,0.6720214190093708,0.6595365418894831
