model,exercise,target,criterion,seed,target_bit,accuracy,lop,global_opposing_support,global_matching_support,global_opposing_rate,target_cardinality,total_hamming1_support,is_hand_criterion
gru,cpr,0000000010100,9,57.333333333333336,0.0,0.06666666666666667,0.0,188.0,899.0,0.17295308187672495,2.0,64.0,0.0
gru,cpr,0000000010100,10,57.333333333333336,1.0,0.3666666666666667,42.0,977.0,110.0,0.8988040478380864,2.0,64.0,0.0
gru,cpr,0000000010100,11,57.333333333333336,0.0,0.9333333333333332,0.0,91.0,996.0,0.08371665133394664,2.0,64.0,0.0
gru,cpr,0000000010100,12,57.333333333333336,0.0,0.8666666666666667,0.0,96.0,991.0,0.08831646734130634,2.0,64.0,0.0
gru,cpr,0000000011000,0,57.333333333333336,0.0,0.8666666666666667,0.0,185.0,902.0,0.1701931922723091,2.0,84.0,1.0
gru,cpr,0000000011000,1,57.333333333333336,0.0,0.6666666666666666,0.0,90.0,997.0,0.0827966881324747,2.0,84.0,1.0
gru,cpr,0000000011000,2,57.333333333333336,0.0,1.0,0.0,98.0,989.0,0.09015639374425023,2.0,84.0,1.0
gru,cpr,0000000011000,3,57.333333333333336,0.0,1.0,0.0,171.0,916.0,0.15731370745170192,2.0,84.0,0.0
gru,cpr,0000000011000,4,57.333333333333336,0.0,1.0,0.0,146.0,941.0,0.1343146274149034,2.0,84.0,0.0
gru,cpr,0000000011000,5,57.333333333333336,0.0,1.0,0.0,128.0,959.0,0.11775528978840848,2.0,84.0,0.0
gru,cpr,0000000011000,6,57.333333333333336,0.0,1.0,0.0,143.0,944.0,0.13155473781048757,2.0,84.0,0.0
gru,cpr,0000000011000,7,57.333333333333336,0.0,1.0,0.0,164.0,923.0,0.15087396504139836,2.0,84.0,0.0
gru,cpr,0000000011000,8,57.333333333333336,1.0,1.0,42.0,929.0,158.0,0.8546458141674332,2.0,84.0,0.0
gru,cpr,0000000011000,9,57.333333333333336,1.0,0.16666666666666666,42.0,911.0,176.0,0.8380864765409384,2.0,84.0,0.0
gru,cpr,0000000011000,10,57.333333333333336,0.0,0.4666666666666666,0.0,122.0,965.0,0.11223551057957681,2.0,84.0,0.0
gru,cpr,0000000011000,11,57.333333333333336,0.0,1.0,0.0,91.0,996.0,0.08371665133394664,2.0,84.0,0.0
gru,cpr,0000000011000,12,57.333333333333336,0.0,1.0,0.0,96.0,991.0,0.08831646734130634,2.0,84.0,0.0
gru,cpr,0000000100000,0,57.333333333333336,0.0,0.39999999999999997,12.0,214.0,875.0,0.19651056014692378,1.0,150.0,1.0
gru,cpr,0000000100000,1,57.333333333333336,0.0,0.9833333333333334,5.0,87.0,1002.0,0.07988980716253444,1.0,150.0,1.0
gru,cpr,0000000100000,2,57.333333333333336,0.0,1.0,12.0,74.0,1015.0,0.06795224977043159,1.0,150.0,1.0
gru,cpr,0000000100000,3,57.333333333333336,0.0,0.8166666666666668,10.0,169.0,920.0,0.155188246097337,1.0,150.0,0.0
gru,cpr,0000000100000,4,57.333333333333336,0.0,1.0,12.0,155.0,934.0,0.1423324150596878,1.0,150.0,0.0
gru,cpr,0000000100000,5,57.333333333333336,0.0,0.7166666666666667,12.0,176.0,913.0,0.16161616161616163,1.0,150.0,0.0
gru,cpr,0000000100000,6,57.333333333333336,0.0,1.0,0.0,158.0,931.0,0.14508723599632692,1.0,150.0,0.0
gru,cpr,0000000100000,7,57.333333333333336,1.0,1.0,42.0,957.0,132.0,0.8787878787878788,1.0,150.0,0.0
