checkpoint,model,exercise,target,seed,criterion,criterion_name,target_bit,perturbation,n_test,n_mapped_joints,context_pressure,baseline_accuracy,baseline_correct_confidence,mapped_confidence_drop,random_confidence_drop,relative_evidence_sensitivity,random_drop_sd,mapped_spillover,split_offset
results/context_evidence/v2/checkpoints\fact_deadlift_00010_s42.pt,fact,deadlift,00010,42,0,Balance (0.5 point) F,0,temporal_mean,66,12,2,0.696969696969697,0.5356717705726624,0.11611505597829819,0.04754487797617912,0.06857018172740936,0.018901580944657326,0.0,322
results/context_evidence/v2/checkpoints\fact_deadlift_00010_s42.pt,fact,deadlift,00010,42,1,Straight back (0.5) L,0,zero,66,6,6,0.7272727272727273,0.604265570640564,-0.16514156758785248,-0.022527046501636505,-0.14261451363563538,0.09637421369552612,0.04428365081548691,322
results/context_evidence/v2/checkpoints\fact_deadlift_00010_s42.pt,fact,deadlift,00010,42,1,Straight back (0.5) L,0,temporal_mean,66,6,6,0.7272727272727273,0.604265570640564,0.1669142246246338,0.034215688705444336,0.13269853591918945,0.029129670932888985,0.03558243811130524,322
results/context_evidence/v2/checkpoints\fact_deadlift_00010_s42.pt,fact,deadlift,00010,42,2,Full back leg extended (0.5 point) L,0,zero,66,6,30,0.2727272727272727,0.4615370035171509,-0.16870352625846863,-0.01051535177975893,-0.15818817913532257,0.017235074192285538,0.15407602488994598,322
results/context_evidence/v2/checkpoints\fact_deadlift_00010_s42.pt,fact,deadlift,00010,42,2,Full back leg extended (0.5 point) L,0,temporal_mean,66,6,30,0.2727272727272727,0.4615370035171509,0.041556842625141144,0.011082176119089127,0.030474666506052017,0.012650387361645699,0.07538344711065292,322
results/context_evidence/v2/checkpoints\fact_deadlift_00010_s42.pt,fact,deadlift,00010,42,3,Slow reverse movement (0.5 point) L,1,zero,66,8,47,0.6212121212121212,0.5277501940727234,0.3269939124584198,0.04087476432323456,0.28611916303634644,0.08443453162908554,0.12252932041883469,322
results/context_evidence/v2/checkpoints\fact_deadlift_00010_s42.pt,fact,deadlift,00010,42,3,Slow reverse movement (0.5 point) L,1,temporal_mean,66,8,47,0.6212121212121212,0.5277501940727234,-0.13653384149074554,-0.0427018478512764,-0.09383199363946915,0.027414003387093544,0.07311713695526123,322
results/context_evidence/v2/checkpoints\fact_deadlift_00010_s42.pt,fact,deadlift,00010,42,4,Support knee bend 15-20° (0.5 point) L,0,zero,66,6,0,0.7575757575757576,0.5806975960731506,-0.1571197807788849,-0.018929949030280113,-0.13818983733654022,0.033064503222703934,0.15668100118637085,322
results/context_evidence/v2/checkpoints\fact_deadlift_00010_s42.pt,fact,deadlift,00010,42,4,Support knee bend 15-20° (0.5 point) L,0,temporal_mean,66,6,0,0.7575757575757576,0.5806975960731506,0.0719701424241066,0.010346460156142712,0.06162368133664131,0.013964422047138214,0.06962241232395172,322
results/context_evidence/v2/checkpoints\fact_deadlift_00010_s7.pt,fact,deadlift,00010,7,0,Balance (0.5 point) F,0,zero,66,12,2,0.7575757575757576,0.6531318426132202,0.387052059173584,0.11069241911172867,0.2763596475124359,0.15080074965953827,0.0,357
results/context_evidence/v2/checkpoints\fact_deadlift_00010_s7.pt,fact,deadlift,00010,7,0,Balance (0.5 point) F,0,temporal_mean,66,12,2,0.7575757575757576,0.6531318426132202,0.2434575855731964,0.07857909798622131,0.1648784875869751,0.035431358963251114,0.0,357
results/context_evidence/v2/checkpoints\fact_deadlift_00010_s7.pt,fact,deadlift,00010,7,1,Straight back (0.5) L,0,zero,66,6,6,0.6818181818181818,0.6275069713592529,-0.2522072494029999,-0.05662737786769867,-0.1955798715353012,0.15329909324645996,0.21213030815124512,357
results/context_evidence/v2/checkpoints\fact_deadlift_00010_s7.pt,fact,deadlift,00010,7,1,Straight back (0.5) L,0,temporal_mean,66,6,6,0.6818181818181818,0.6275069713592529,0.11859870702028275,0.012312994338572025,0.1062857136130333,0.017667831853032112,0.11602895706892014,357
results/context_evidence/v2/checkpoints\fact_deadlift_00010_s7.pt,fact,deadlift,00010,7,2,Full back leg extended (0.5 point) L,0,zero,66,6,30,0.18181818181818182,0.28698039054870605,-0.1686936318874359,-0.037171393632888794,-0.13152223825454712,0.1242571696639061,0.18395733833312988,357
results/context_evidence/v2/checkpoints\fact_deadlift_00010_s7.pt,fact,deadlift,00010,7,2,Full back leg extended (0.5 point) L,0,temporal_mean,66,6,30,0.18181818181818182,0.28698039054870605,0.0033797803334891796,0.03443220257759094,-0.031052421778440475,0.03868010640144348,0.15142330527305603,357
results/context_evidence/v2/checkpoints\fact_deadlift_00010_s7.pt,fact,deadlift,00010,7,3,Slow reverse movement (0.5 point) L,1,zero,66,8,47,0.6060606060606061,0.5434030294418335,0.4011022746562958,0.12280086427927017,0.2783014178276062,0.14503389596939087,0.15845191478729248,357
results/context_evidence/v2/checkpoints\fact_deadlift_00010_s7.pt,fact,deadlift,00010,7,3,Slow reverse movement (0.5 point) L,1,temporal_mean,66,8,47,0.6060606060606061,0.5434030294418335,-0.29410767555236816,-0.09924589842557907,-0.1948617696762085,0.06199575960636139,0.16490569710731506,357
results/context_evidence/v2/checkpoints\fact_deadlift_00010_s7.pt,fact,deadlift,00010,7,4,Support knee bend 15-20° (0.5 point) L,0,zero,66,6,0,0.8484848484848485,0.7659580111503601,-0.13585162162780762,-0.01405274122953415,-0.12179888039827347,0.07810388505458832,0.2140846699476242,357
results/context_evidence/v2/checkpoints\fact_deadlift_00010_s7.pt,fact,deadlift,00010,7,4,Support knee bend 15-20° (0.5 point) L,0,temporal_mean,66,6,0,0.8484848484848485,0.7659580111503601,0.3137490749359131,0.046261392533779144,0.26748767495155334,0.06415615230798721,0.11880730092525482,357
results/context_evidence/v2/checkpoints\fact_deadlift_00100_s123.pt,fact,deadlift,00100,123,0,Balance (0.5 point) F,0,zero,22,12,0,0.9090909090909091,0.6941709518432617,0.3241782486438751,0.005443602800369263,0.31873464584350586,0.033997491002082825,0.0,227
results/context_evidence/v2/checkpoints\fact_deadlift_00100_s123.pt,fact,deadlift,00100,123,0,Balance (0.5 point) F,0,temporal_mean,22,12,0,0.9090909090909091,0.6941709518432617,0.11140652000904083,0.03067520074546337,0.08073131740093231,0.013429229147732258,0.0,227
