model,perturbation,exercise,target,criterion,seed,target_bit,n_test,n_mapped_joints,context_pressure,baseline_accuracy,baseline_correct_confidence,mapped_confidence_drop,random_confidence_drop,relative_evidence_sensitivity,random_drop_sd,mapped_spillover,split_offset
fact,zero,deadlift,0,1,57.333333333333336,0.0,69.0,6.0,0.0,0.7246376811594203,0.6075184543927511,-0.015748692055543263,0.010876256856136067,-0.026624950269858033,0.10254539052645363,0.023998267327745734,145.66666666666666
fact,zero,deadlift,0,2,57.333333333333336,0.0,69.0,6.0,15.0,0.46859903381642515,0.5057605703671774,-0.04736368730664253,-0.0010324124790107,-0.04633127525448797,0.033289334426323536,0.077412004272143,145.66666666666666
fact,zero,deadlift,0,3,57.333333333333336,0.0,69.0,8.0,45.0,0.0289855072463768,0.38866429527600604,-0.0471379328519106,-0.008833772502839534,-0.0383041612803936,0.025814228380719766,0.0742780988415082,145.66666666666666
fact,zero,deadlift,0,4,57.333333333333336,0.0,69.0,6.0,0.0,0.9565217391304349,0.7801403403282166,-0.023984670794258468,0.0028791530057787674,-0.026863823334375998,0.0321914019683996,0.09505425890286756,145.66666666666666
fact,zero,deadlift,10,0,57.333333333333336,0.0,66.0,12.0,2.0,0.6464646464646465,0.5595186650753021,0.14586455499132475,0.043761686421930734,0.10210287198424339,0.06962335792680578,0.0,306.6666666666667
fact,zero,deadlift,10,1,57.333333333333336,0.0,66.0,6.0,6.0,0.6717171717171717,0.6044983665148417,-0.19369157652060187,-0.029207290150225135,-0.16448428233464554,0.11309932172298427,0.09336189677317934,306.6666666666667
fact,zero,deadlift,10,2,57.333333333333336,0.0,66.0,6.0,30.0,0.21717171717171713,0.39881255229314166,-0.1547426680723826,-0.020576830022036963,-0.1341658383607864,0.05367901424566903,0.15316843986511222,306.6666666666667
fact,zero,deadlift,10,3,57.333333333333336,1.0,66.0,8.0,47.0,0.5909090909090909,0.5220934847990671,0.31950928270816803,0.0682147120436032,0.25129457811514533,0.10272223254044847,0.13265225787957505,306.6666666666667
fact,zero,deadlift,10,4,57.333333333333336,0.0,66.0,6.0,0.0,0.8181818181818182,0.6510635018348694,-0.15056861440340677,-0.017367929220199533,-0.133200687666734,0.053816020488738965,0.1613100618124008,306.6666666666667
fact,zero,deadlift,100,0,57.333333333333336,0.0,22.0,12.0,0.0,0.893939393939394,0.7315744558970133,0.14886110027631125,0.023058283220355667,0.12580281744400656,0.0537806836267312,0.0,292.6666666666667
fact,zero,deadlift,100,1,57.333333333333336,0.0,22.0,6.0,0.0,0.712121212121212,0.6568580468495687,-0.0343663468956947,0.015605980840822034,-0.04997232556343074,0.15504343310991917,0.14058253883073724,292.6666666666667
fact,zero,deadlift,100,2,57.333333333333336,1.0,22.0,6.0,54.0,0.5,0.5091079672177633,0.16658490213255087,0.02212675598760443,0.14445814676582813,0.11954902422924829,0.14371980726718894,292.6666666666667
fact,zero,deadlift,100,3,57.333333333333336,0.0,22.0,8.0,33.0,0.19696969696969693,0.36343180139859516,-0.276424283782641,-0.0421255752444267,-0.23429871102174119,0.09753694074849284,0.15526425093412397,292.6666666666667
fact,zero,deadlift,100,4,57.333333333333336,0.0,22.0,6.0,5.0,0.8484848484848485,0.7493532101313273,-0.1156262916823228,-0.0345572897543509,-0.08106900254885353,0.06095369035998973,0.1635710497697194,292.6666666666667
fact,zero,deadlift,110,0,57.333333333333336,0.0,33.0,12.0,0.0,0.8181818181818182,0.7609227299690247,0.13175094376007718,0.07279466154674684,0.0589562803506851,0.11612863590319945,0.0,224.66666666666666
fact,zero,deadlift,110,1,57.333333333333336,0.0,33.0,6.0,7.0,0.787878787878788,0.757246216138204,-0.11276610195636749,0.069460409382979,-0.1822265138228734,0.2181428074836731,0.16299978395303083,224.66666666666666
fact,zero,deadlift,110,2,57.333333333333336,1.0,33.0,6.0,53.0,0.43434343434343425,0.426972637573878,0.029988656441370633,0.04054660443216557,-0.010557948301235867,0.09092805534601207,0.17898730188608167,224.66666666666666
fact,zero,deadlift,110,3,57.333333333333336,1.0,33.0,8.0,22.0,0.5252525252525252,0.5085286597410837,0.3751830756664276,0.08899212007721259,0.28619096676508576,0.12514578054348627,0.16952588409185407,224.66666666666666
fact,zero,deadlift,110,4,57.333333333333336,0.0,33.0,6.0,9.0,0.797979797979798,0.7410606543223063,-0.11186054100592928,-0.05772950872778887,-0.05413103227814033,0.07404617965221401,0.19148462017377213,224.66666666666666
fact,zero,deadlift,11110,0,57.333333333333336,1.0,10.0,12.0,1.0,0.09999999999999999,0.3187133371829986,-0.3045338491598765,-0.06977380315462743,-0.2347600385546684,0.08012844622135161,0.0,226.66666666666666
fact,zero,deadlift,11110,1,57.333333333333336,1.0,10.0,6.0,1.0,0.3333333333333333,0.32742856939633685,0.22641922036806741,-0.0383313757677873,0.2647505948940912,0.21452121436595914,0.16234839210907612,226.66666666666666
fact,zero,deadlift,11110,2,57.333333333333336,1.0,10.0,6.0,0.0,0.8333333333333334,0.6588046352068583,0.514120618502299,0.061410514016946104,0.452710102001826,0.12071588511268294,0.19242223103841138,226.66666666666666
fact,zero,deadlift,11110,3,57.333333333333336,1.0,10.0,8.0,0.0,0.3333333333333333,0.3936374733845393,0.0481025730647768,-0.0270865651157995,0.07518913814177113,0.18154151240984595,0.2409780671199163,226.66666666666666
