model,exercise,target,seed,split,metric,value
fact,squat,000101,7,test,micro_f1,0.4810126582278481
fact,squat,000101,7,test,bit_accuracy,0.6893939393939394
fact,squat,000101,7,test,exact_match,0.0
fact,squat,010101,123,val,macro_f1,0.6080628587256258
fact,squat,010101,123,val,micro_f1,0.6614173228346457
fact,squat,010101,123,val,bit_accuracy,0.7393939393939394
fact,squat,010101,123,val,exact_match,0.3090909090909091
fact,squat,010101,123,test,macro_f1,0.3201754385964912
fact,squat,010101,123,test,micro_f1,0.5925925925925926
fact,squat,010101,123,test,bit_accuracy,0.6333333333333333
fact,squat,010101,123,test,exact_match,0.2
fact,squat,010101,42,val,macro_f1,0.6734403834707678
fact,squat,010101,42,val,micro_f1,0.7071428571428572
fact,squat,010101,42,val,bit_accuracy,0.7515151515151515
fact,squat,010101,42,val,exact_match,0.23636363636363636
fact,squat,010101,42,test,macro_f1,0.25213675213675213
fact,squat,010101,42,test,micro_f1,0.4594594594594595
fact,squat,010101,42,test,bit_accuracy,0.5555555555555556
fact,squat,010101,42,test,exact_match,0.06666666666666667
fact,squat,010101,7,val,macro_f1,0.6586264007523087
fact,squat,010101,7,val,micro_f1,0.696
fact,squat,010101,7,val,bit_accuracy,0.7696969696969697
fact,squat,010101,7,val,exact_match,0.2
fact,squat,010101,7,test,macro_f1,0.24425287356321843
fact,squat,010101,7,test,micro_f1,0.5066666666666667
fact,squat,010101,7,test,bit_accuracy,0.5888888888888889
fact,squat,010101,7,test,exact_match,0.0
fact,squat,100001,123,val,macro_f1,0.6249542875178485
fact,squat,100001,123,val,micro_f1,0.6904761904761905
fact,squat,100001,123,val,bit_accuracy,0.74
fact,squat,100001,123,val,exact_match,0.08
fact,squat,100001,123,test,macro_f1,0.2681465821000705
fact,squat,100001,123,test,micro_f1,0.5907172995780591
fact,squat,100001,123,test,bit_accuracy,0.6891025641025641
fact,squat,100001,123,test,exact_match,0.15384615384615385
fact,squat,100001,42,val,macro_f1,0.665012607531789
fact,squat,100001,42,val,micro_f1,0.7215686274509804
fact,squat,100001,42,val,bit_accuracy,0.7633333333333333
fact,squat,100001,42,val,exact_match,0.14
fact,squat,100001,42,test,macro_f1,0.2590990990990991
fact,squat,100001,42,test,micro_f1,0.5907172995780591
fact,squat,100001,42,test,bit_accuracy,0.6891025641025641
fact,squat,100001,42,test,exact_match,0.21153846153846154
fact,squat,100001,7,val,macro_f1,0.6010740430205591
fact,squat,100001,7,val,micro_f1,0.6821705426356589
fact,squat,100001,7,val,bit_accuracy,0.7266666666666667
fact,squat,100001,7,val,exact_match,0.18
fact,squat,100001,7,test,macro_f1,0.3073397780164698
fact,squat,100001,7,test,micro_f1,0.7672413793103449
fact,squat,100001,7,test,bit_accuracy,0.8269230769230769
fact,squat,100001,7,test,exact_match,0.34615384615384615
fact,squat,100101,123,val,macro_f1,0.48418765993478635
fact,squat,100101,123,val,micro_f1,0.5764192139737991
fact,squat,100101,123,val,bit_accuracy,0.6766666666666666
fact,squat,100101,123,val,exact_match,0.18
fact,squat,100101,123,test,macro_f1,0.44754746322814754
fact,squat,100101,123,test,micro_f1,0.7457627118644068
fact,squat,100101,123,test,bit_accuracy,0.7222222222222222
fact,squat,100101,123,test,exact_match,0.1111111111111111
fact,squat,100101,42,val,macro_f1,0.47415975612906563
fact,squat,100101,42,val,micro_f1,0.5410628019323671
fact,squat,100101,42,val,bit_accuracy,0.6833333333333333
fact,squat,100101,42,val,exact_match,0.18
fact,squat,100101,42,test,macro_f1,0.4149396765637033
fact,squat,100101,42,test,micro_f1,0.7162790697674418
fact,squat,100101,42,test,bit_accuracy,0.7175925925925926
fact,squat,100101,42,test,exact_match,0.0
fact,squat,100101,7,val,macro_f1,0.5812538910364998
fact,squat,100101,7,val,micro_f1,0.6451612903225806
fact,squat,100101,7,val,bit_accuracy,0.7066666666666667
fact,squat,100101,7,val,exact_match,0.2
fact,squat,100101,7,test,macro_f1,0.39849333056880226
fact,squat,100101,7,test,micro_f1,0.7373737373737373
fact,squat,100101,7,test,bit_accuracy,0.7592592592592593
fact,squat,100101,7,test,exact_match,0.1388888888888889
fact,squat,101001,123,val,macro_f1,0.5755080524449248
fact,squat,101001,123,val,micro_f1,0.6636771300448431
fact,squat,101001,123,val,bit_accuracy,0.7685185185185185
fact,squat,101001,123,val,exact_match,0.2962962962962963
fact,squat,101001,123,test,macro_f1,0.3082022818378045
fact,squat,101001,123,test,micro_f1,0.6564885496183206
fact,squat,101001,123,test,bit_accuracy,0.7
fact,squat,101001,123,test,exact_match,0.0
fact,squat,101001,42,val,macro_f1,0.6340297652733985
fact,squat,101001,42,val,micro_f1,0.6947368421052632
fact,squat,101001,42,val,bit_accuracy,0.7363636363636363
fact,squat,101001,42,val,exact_match,0.07272727272727272
fact,squat,101001,42,test,macro_f1,0.39189691027926327
fact,squat,101001,42,test,micro_f1,0.6496815286624203
fact,squat,101001,42,test,bit_accuracy,0.6333333333333333
fact,squat,101001,42,test,exact_match,0.04
fact,squat,101001,7,val,macro_f1,0.586024709585217
fact,squat,101001,7,val,micro_f1,0.6795366795366795
fact,squat,101001,7,val,bit_accuracy,0.7484848484848485
fact,squat,101001,7,val,exact_match,0.2545454545454545
fact,squat,101001,7,test,macro_f1,0.35219916090133646
fact,squat,101001,7,test,micro_f1,0.6717557251908397
fact,squat,101001,7,test,bit_accuracy,0.7133333333333334
fact,squat,101001,7,test,exact_match,0.0
gru,deadlift,00000,123,val,macro_f1,0.5481599536366271
gru,deadlift,00000,123,val,micro_f1,0.625
gru,deadlift,00000,123,val,bit_accuracy,0.6823529411764706
gru,deadlift,00000,123,val,exact_match,0.058823529411764705
gru,deadlift,00000,123,test,macro_f1,0.0
gru,deadlift,00000,123,test,micro_f1,0.0
gru,deadlift,00000,123,test,bit_accuracy,0.5855072463768116
gru,deadlift,00000,123,test,exact_match,0.0
gru,deadlift,00000,42,val,macro_f1,0.5590596070596071
gru,deadlift,00000,42,val,micro_f1,0.6344827586206897
gru,deadlift,00000,42,val,bit_accuracy,0.6882352941176471
gru,deadlift,00000,42,val,exact_match,0.029411764705882353
gru,deadlift,00000,42,test,macro_f1,0.0
gru,deadlift,00000,42,test,micro_f1,0.0
gru,deadlift,00000,42,test,bit_accuracy,0.553623188405797
gru,deadlift,00000,42,test,exact_match,0.0
gru,deadlift,00000,7,val,macro_f1,0.5683361959677748
gru,deadlift,00000,7,val,micro_f1,0.6370370370370371
gru,deadlift,00000,7,val,bit_accuracy,0.711764705882353
gru,deadlift,00000,7,val,exact_match,0.20588235294117646
gru,deadlift,00000,7,test,macro_f1,0.0
gru,deadlift,00000,7,test,micro_f1,0.0
gru,deadlift,00000,7,test,bit_accuracy,0.6173913043478261
gru,deadlift,00000,7,test,exact_match,0.0
gru,deadlift,00010,123,val,macro_f1,0.3189093028515754
gru,deadlift,00010,123,val,micro_f1,0.3870967741935484
gru,deadlift,00010,123,val,bit_accuracy,0.4153846153846154
gru,deadlift,00010,123,val,exact_match,0.05128205128205128
gru,deadlift,00010,123,test,macro_f1,0.136
gru,deadlift,00010,123,test,micro_f1,0.23943661971830985
gru,deadlift,00010,123,test,bit_accuracy,0.34545454545454546
gru,deadlift,00010,123,test,exact_match,0.0
gru,deadlift,00010,42,val,macro_f1,0.2748114630467572
gru,deadlift,00010,42,val,micro_f1,0.2777777777777778
gru,deadlift,00010,42,val,bit_accuracy,0.4666666666666667
gru,deadlift,00010,42,val,exact_match,0.02564102564102564
gru,deadlift,00010,42,test,macro_f1,0.17043478260869566
gru,deadlift,00010,42,test,micro_f1,0.4434389140271493
gru,deadlift,00010,42,test,bit_accuracy,0.6272727272727273
gru,deadlift,00010,42,test,exact_match,0.015151515151515152
