model,exercise,target,split,metric,value
tcn,squat,000001,test,micro_f1,0.46522120412536755
tcn,squat,000001,val,bit_accuracy,0.626984126984127
tcn,squat,000001,val,exact_match,0.17006802721088435
tcn,squat,000001,val,macro_f1,0.5361151753529882
tcn,squat,000001,val,micro_f1,0.5659884855581577
tcn,squat,000101,test,bit_accuracy,0.6792929292929294
tcn,squat,000101,test,exact_match,0.0
tcn,squat,000101,test,macro_f1,0.25625763125763124
tcn,squat,000101,test,micro_f1,0.5651225836869401
tcn,squat,000101,val,bit_accuracy,0.6574074074074074
tcn,squat,000101,val,exact_match,0.09876543209876543
tcn,squat,000101,val,macro_f1,0.464539863812226
tcn,squat,000101,val,micro_f1,0.5904700925062046
tcn,squat,010101,test,bit_accuracy,0.6888888888888888
tcn,squat,010101,test,exact_match,0.15555555555555556
tcn,squat,010101,test,macro_f1,0.35878078423717374
tcn,squat,010101,test,micro_f1,0.6412339416144108
tcn,squat,010101,val,bit_accuracy,0.6969696969696969
tcn,squat,010101,val,exact_match,0.17575757575757575
tcn,squat,010101,val,macro_f1,0.5145216508581977
tcn,squat,010101,val,micro_f1,0.6170961901052981
tcn,squat,100001,test,bit_accuracy,0.673076923076923
tcn,squat,100001,test,exact_match,0.08333333333333333
tcn,squat,100001,test,macro_f1,0.2865071787329481
tcn,squat,100001,test,micro_f1,0.6077885380010918
tcn,squat,100001,val,bit_accuracy,0.6266666666666666
tcn,squat,100001,val,exact_match,0.12
tcn,squat,100001,val,macro_f1,0.5247546716651151
tcn,squat,100001,val,micro_f1,0.5988936889629892
tcn,squat,100101,test,bit_accuracy,0.7160493827160493
tcn,squat,100101,test,exact_match,0.0
tcn,squat,100101,test,macro_f1,0.32752549053189123
tcn,squat,100101,test,micro_f1,0.6723743364248852
tcn,squat,100101,val,bit_accuracy,0.7188888888888889
tcn,squat,100101,val,exact_match,0.19333333333333333
tcn,squat,100101,val,macro_f1,0.5640406734911471
tcn,squat,100101,val,micro_f1,0.6345642990470576
tcn,squat,101001,test,bit_accuracy,0.6977777777777777
tcn,squat,101001,test,exact_match,0.013333333333333334
tcn,squat,101001,test,macro_f1,0.3211070526027082
tcn,squat,101001,test,micro_f1,0.6443667640227215
tcn,squat,101001,val,bit_accuracy,0.6696408529741863
tcn,squat,101001,val,exact_match,0.18855218855218855
tcn,squat,101001,val,macro_f1,0.465465374491836
tcn,squat,101001,val,micro_f1,0.5728079449356848
transformer,deadlift,00000,test,bit_accuracy,0.5478260869565218
transformer,deadlift,00000,test,exact_match,0.014492753623188406
transformer,deadlift,00000,test,macro_f1,0.0
transformer,deadlift,00000,test,micro_f1,0.0
transformer,deadlift,00000,val,bit_accuracy,0.6607843137254902
transformer,deadlift,00000,val,exact_match,0.049019607843137254
transformer,deadlift,00000,val,macro_f1,0.5962512168781331
transformer,deadlift,00000,val,micro_f1,0.6216798063931822
transformer,deadlift,00010,test,bit_accuracy,0.47979797979797983
transformer,deadlift,00010,test,exact_match,0.0
transformer,deadlift,00010,test,macro_f1,0.19107258377539138
transformer,deadlift,00010,test,micro_f1,0.4174211752149284
transformer,deadlift,00010,val,bit_accuracy,0.4478632478632479
transformer,deadlift,00010,val,exact_match,0.12820512820512822
transformer,deadlift,00010,val,macro_f1,0.4176186750759525
transformer,deadlift,00010,val,micro_f1,0.45045967104790635
transformer,deadlift,00100,test,bit_accuracy,0.4424242424242424
transformer,deadlift,00100,test,exact_match,0.030303030303030304
transformer,deadlift,00100,test,macro_f1,0.02759420289855072
transformer,deadlift,00100,test,micro_f1,0.05059713671092649
transformer,deadlift,00100,val,bit_accuracy,0.6326241134751773
transformer,deadlift,00100,val,exact_match,0.035460992907801414
transformer,deadlift,00100,val,macro_f1,0.359366970534994
transformer,deadlift,00100,val,micro_f1,0.48976120003448376
transformer,deadlift,00110,test,bit_accuracy,0.7696969696969697
transformer,deadlift,00110,test,exact_match,0.1111111111111111
transformer,deadlift,00110,test,macro_f1,0.35229989503673714
transformer,deadlift,00110,test,micro_f1,0.7348071032281558
transformer,deadlift,00110,val,bit_accuracy,0.5805555555555556
transformer,deadlift,00110,val,exact_match,0.05555555555555555
transformer,deadlift,00110,val,macro_f1,0.35624093638497495
transformer,deadlift,00110,val,micro_f1,0.4577604360213056
transformer,deadlift,11110,test,bit_accuracy,0.37333333333333335
transformer,deadlift,11110,test,exact_match,0.0
transformer,deadlift,11110,test,macro_f1,0.27787767787767786
transformer,deadlift,11110,test,micro_f1,0.3614663256606991
transformer,deadlift,11110,val,bit_accuracy,0.7102564102564103
transformer,deadlift,11110,val,exact_match,0.12820512820512822
transformer,deadlift,11110,val,macro_f1,0.46010110931825526
transformer,deadlift,11110,val,micro_f1,0.5910414780406513
transformer,squat,000000,test,bit_accuracy,0.5882352941176471
transformer,squat,000000,test,exact_match,0.0
transformer,squat,000000,test,macro_f1,0.0
transformer,squat,000000,test,micro_f1,0.0
transformer,squat,000000,val,bit_accuracy,0.6553497942386831
transformer,squat,000000,val,exact_match,0.09876543209876543
transformer,squat,000000,val,macro_f1,0.53466895346227
transformer,squat,000000,val,micro_f1,0.6466475159582581
transformer,squat,000001,test,bit_accuracy,0.6535353535353535
transformer,squat,000001,test,exact_match,0.012121212121212121
transformer,squat,000001,test,macro_f1,0.1303294573643411
transformer,squat,000001,test,micro_f1,0.38205268022538563
transformer,squat,000001,val,bit_accuracy,0.6485260770975056
transformer,squat,000001,val,exact_match,0.1360544217687075
transformer,squat,000001,val,macro_f1,0.5369303358230478
transformer,squat,000001,val,micro_f1,0.5751335640875144
transformer,squat,000101,test,bit_accuracy,0.6464646464646465
transformer,squat,000101,test,exact_match,0.04545454545454545
transformer,squat,000101,test,macro_f1,0.2703033126653152
transformer,squat,000101,test,micro_f1,0.5690645955351837
transformer,squat,000101,val,bit_accuracy,0.6234567901234568
transformer,squat,000101,val,exact_match,0.09876543209876543
transformer,squat,000101,val,macro_f1,0.4686995573689136
transformer,squat,000101,val,micro_f1,0.5774549707113844
transformer,squat,010101,test,bit_accuracy,0.7333333333333334
transformer,squat,010101,test,exact_match,0.022222222222222223
transformer,squat,010101,test,macro_f1,0.38260776241197797
transformer,squat,010101,test,micro_f1,0.7205882352941176
transformer,squat,010101,val,bit_accuracy,0.7101010101010101
transformer,squat,010101,val,exact_match,0.28484848484848485
transformer,squat,010101,val,macro_f1,0.4991498161983135
transformer,squat,010101,val,micro_f1,0.6175811408262754
transformer,squat,100001,test,bit_accuracy,0.6239316239316239
transformer,squat,100001,test,exact_match,0.012820512820512822
transformer,squat,100001,test,macro_f1,0.2834740717641518
transformer,squat,100001,test,micro_f1,0.5771275578504494
transformer,squat,100001,val,bit_accuracy,0.63
transformer,squat,100001,val,exact_match,0.12666666666666668
transformer,squat,100001,val,macro_f1,0.5478326725334249
transformer,squat,100001,val,micro_f1,0.6049364046223208
transformer,squat,100101,test,bit_accuracy,0.66820987654321
transformer,squat,100101,test,exact_match,0.0
transformer,squat,100101,test,macro_f1,0.3088349411350772
transformer,squat,100101,test,micro_f1,0.5985809338750515
transformer,squat,100101,val,bit_accuracy,0.6944444444444445
transformer,squat,100101,val,exact_match,0.14
transformer,squat,100101,val,macro_f1,0.5209420088939786
transformer,squat,100101,val,micro_f1,0.5840603825460476
transformer,squat,101001,test,bit_accuracy,0.6533333333333333
transformer,squat,101001,test,exact_match,0.0
transformer,squat,101001,test,macro_f1,0.30169392270456097
transformer,squat,101001,test,micro_f1,0.6027024231678487
transformer,squat,101001,val,bit_accuracy,0.7167976056864945
transformer,squat,101001,val,exact_match,0.1828282828282828
transformer,squat,101001,val,macro_f1,0.49900930356052314
transformer,squat,101001,val,micro_f1,0.632599769965747
