model,exercise,target,seed,split,metric,value
stgcn,squat,101001,123,val,bit_accuracy,0.6327160493827161
stgcn,squat,101001,123,val,exact_match,0.018518518518518517
stgcn,squat,101001,123,test,macro_f1,0.37931034482758624
stgcn,squat,101001,123,test,micro_f1,0.7769784172661871
stgcn,squat,101001,123,test,bit_accuracy,0.7933333333333333
stgcn,squat,101001,123,test,exact_match,0.0
stgcn,squat,101001,42,val,macro_f1,0.4557823129251701
stgcn,squat,101001,42,val,micro_f1,0.6666666666666666
stgcn,squat,101001,42,val,bit_accuracy,0.6818181818181818
stgcn,squat,101001,42,val,exact_match,0.07272727272727272
stgcn,squat,101001,42,test,macro_f1,0.3333333333333333
stgcn,squat,101001,42,test,micro_f1,0.6944444444444444
stgcn,squat,101001,42,test,bit_accuracy,0.7066666666666667
stgcn,squat,101001,42,test,exact_match,0.0
stgcn,squat,101001,7,val,macro_f1,0.3575961179544606
stgcn,squat,101001,7,val,micro_f1,0.6381322957198443
stgcn,squat,101001,7,val,bit_accuracy,0.7181818181818181
stgcn,squat,101001,7,val,exact_match,0.14545454545454545
stgcn,squat,101001,7,test,macro_f1,0.3333333333333333
stgcn,squat,101001,7,test,micro_f1,0.7352941176470589
stgcn,squat,101001,7,test,bit_accuracy,0.76
stgcn,squat,101001,7,test,exact_match,0.0
