model,exercise,target,condition,metric,value
gru,cpr,0000001000001,seen,macro_f1,0.11894586894586893
gru,cpr,0000001000001,seen,micro_f1,0.6902356902356903
gru,cpr,0000001000001,unseen,bit_accuracy,0.8230769230769232
gru,cpr,0000001000001,unseen,exact_match,0.0
gru,cpr,0000001000001,unseen,macro_f1,0.07692307692307693
gru,cpr,0000001000001,unseen,micro_f1,0.4775599128540305
gru,cpr,0000001000010,seen,bit_accuracy,0.9384615384615386
gru,cpr,0000001000010,seen,exact_match,0.3333333333333333
gru,cpr,0000001000010,seen,macro_f1,0.12250712250712249
gru,cpr,0000001000010,seen,micro_f1,0.7806637806637807
gru,cpr,0000001000010,unseen,bit_accuracy,0.8282051282051283
gru,cpr,0000001000010,unseen,exact_match,0.0
gru,cpr,0000001000010,unseen,macro_f1,0.07692307692307693
gru,cpr,0000001000010,unseen,micro_f1,0.483115468409586
gru,cpr,0000001000100,seen,bit_accuracy,0.8512820512820513
gru,cpr,0000001000100,seen,exact_match,0.0
gru,cpr,0000001000100,seen,macro_f1,0.10012210012210011
gru,cpr,0000001000100,seen,micro_f1,0.5513833992094862
gru,cpr,0000001000100,unseen,bit_accuracy,0.7769230769230769
gru,cpr,0000001000100,unseen,exact_match,0.0
gru,cpr,0000001000100,unseen,macro_f1,0.07692307692307693
gru,cpr,0000001000100,unseen,micro_f1,0.4096866096866097
gru,cpr,0000001001000,seen,bit_accuracy,0.8205128205128206
gru,cpr,0000001001000,seen,exact_match,0.0
gru,cpr,0000001001000,seen,macro_f1,0.09401709401709402
gru,cpr,0000001001000,seen,micro_f1,0.4976190476190476
gru,cpr,0000001001000,unseen,bit_accuracy,0.8205128205128206
gru,cpr,0000001001000,unseen,exact_match,0.0
gru,cpr,0000001001000,unseen,macro_f1,0.07692307692307693
gru,cpr,0000001001000,unseen,micro_f1,0.47031039136302294
gru,cpr,0000001010000,seen,bit_accuracy,0.882051282051282
gru,cpr,0000001010000,seen,exact_match,0.0
gru,cpr,0000001010000,seen,macro_f1,0.1217948717948718
gru,cpr,0000001010000,seen,micro_f1,0.6606060606060606
gru,cpr,0000001010000,unseen,bit_accuracy,0.8333333333333334
gru,cpr,0000001010000,unseen,exact_match,0.0
gru,cpr,0000001010000,unseen,macro_f1,0.07692307692307693
gru,cpr,0000001010000,unseen,micro_f1,0.48691887822322605
gru,cpr,0000010000000,seen,bit_accuracy,0.8166666666666668
gru,cpr,0000010000000,seen,exact_match,0.016666666666666666
gru,cpr,0000010000000,seen,macro_f1,0.03885003885003885
gru,cpr,0000010000000,seen,micro_f1,0.24185759209344115
